YTID,ESC-50class,AudioSetLabel,newLabel
--4gqARaEJE,dog,/m/0bt9lr,1
-8pCMgGKZY8,dog,/m/0bt9lr,1
-9byM5-ih2M,dog,/m/0bt9lr,1
06rCpqwkcDw,dog,/m/0bt9lr,1
0Wkk9iNzA9c,dog,/m/0bt9lr,1
0dXtmlR1Lm0,dog,/m/0bt9lr,1
0foC-4n-eH0,dog,/m/0bt9lr,1
1D4LxbOVn1I,dog,/m/0bt9lr,1
1MP3sQTk8wo,dog,/m/0bt9lr,1
1WGfcIOLUK8,dog,/m/0bt9lr,1
1_Q80fDGLRM,dog,/m/0bt9lr,1
20qZLse0acs,dog,/m/0bt9lr,1
2QKJuc_Hscc,dog,/m/0bt9lr,1
2ZZEtUCIkUw,dog,/m/0bt9lr,1
2nQzeKH07LQ,dog,/m/0bt9lr,1
2peFmuYqSDo,dog,/m/0bt9lr,1
2rW2I6KmWhw,dog,/m/0bt9lr,1
2tBRn4xKmzM,dog,/m/0bt9lr,1
31c2kosdtuo,dog,/m/0bt9lr,1
37QWwibfvXU,dog,/m/0bt9lr,1
3AzacBprTzU,dog,/m/0bt9lr,1
3LvZUtupOCs,dog,/m/0bt9lr,1
3NRu3vNRFxU,dog,/m/0bt9lr,1
3TyBFLPxDw8,dog,/m/0bt9lr,1
3lsNtH_m7kw,dog,/m/0bt9lr,1
3qesirWAGt4,dog,/m/0bt9lr,1
3rn-tCQafl8,dog,/m/0bt9lr,1
4GxRRVp3hD4,dog,/m/0bt9lr,1
4IvFk-bZ0-M,dog,/m/0bt9lr,1
4Jc8UZHaqHw,dog,/m/0bt9lr,1
4qaJW0mvsoY,dog,/m/0bt9lr,1
4ynKNPBxypA,dog,/m/0bt9lr,1
5-SzNKBcPWs,dog,/m/0bt9lr,1
5UUgV7-Bg3c,dog,/m/0bt9lr,1
5Y-1he25j9E,dog,/m/0bt9lr,1
5b6lStP8UXE,dog,/m/0bt9lr,1
5bHKmOv3XzE,dog,/m/0bt9lr,1
5ixvBFzG0kc,dog,/m/0bt9lr,1
5lw-BHt_rXY,dog,/m/0bt9lr,1
5rSpIXAOjgk,dog,/m/0bt9lr,1
yMNs4gCJn1c,coughing,/m/01b_21,25
0iiwZ2_9Vi8,coughing,/m/01b_21,25
0mZQ6Q-viPw,coughing,/m/01b_21,25
130v5XJl8G0,coughing,/m/01b_21,25
1Xmw9VUzvLY,coughing,/m/01b_21,25
39IZIbmQPzA,coughing,/m/01b_21,25
3Liy9uBgsQM,coughing,/m/01b_21,25
3id3zRRZBVM,coughing,/m/01b_21,25
40fIOkLK3j4,coughing,/m/01b_21,25
5wbc84KnDS0,coughing,/m/01b_21,25
7lO9BbTaezE,coughing,/m/01b_21,25
9h3a7fN0f-c,coughing,/m/01b_21,25
AIVt3e5EVtc,coughing,/m/01b_21,25
AlPu_yxLT2g,coughing,/m/01b_21,25
BZU01hhyVKs,coughing,/m/01b_21,25
DYTLct-5tVs,coughing,/m/01b_21,25
HJg4jZNv1pc,coughing,/m/01b_21,25
HMnF8n9c5-Y,coughing,/m/01b_21,25
IYllzXfvkmY,coughing,/m/01b_21,25
